"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in Fisher.classic"	"Fisher.elim"	"Fisher.classic"	"FDR"	"ontology"
"GO:0007218"	"neuropeptide signaling pathway"	53	4	0.23	1	"1.1e-06"	"8.8e-05"	0.0088	"BP"
"GO:0050886"	"endocrine process"	6	2	0.03	2	"3.3e-05"	"0.00029"	0.01	"BP"
"GO:1903524"	"positive regulation of blood circulation"	7	2	0.03	3	"1.00000"	"0.00040"	0.01	"BP"
"GO:0045823"	"positive regulation of heart contraction"	7	2	0.03	4	"4.6e-05"	"0.00040"	0.01	"BP"
"GO:0007186"	"G protein-coupled receptor signaling pat..."	187	5	0.83	5	"0.15866"	"0.00143"	0.0278888888888889	"BP"
"GO:0019934"	"cGMP-mediated signaling"	15	2	0.07	6	"0.00023"	"0.00195"	0.0278888888888889	"BP"
"GO:1903531"	"negative regulation of secretion by cell"	16	2	0.07	7	"0.01589"	"0.00222"	0.0278888888888889	"BP"
"GO:0044057"	"regulation of system process"	60	3	0.27	8	"0.07149"	"0.00237"	0.0278888888888889	"BP"
"GO:0051048"	"negative regulation of secretion"	17	2	0.08	9	"0.01732"	"0.00251"	0.0278888888888889	"BP"
"GO:0045471"	"response to ethanol"	67	3	0.3	10	"0.01806"	"0.00324"	0.0324	"BP"
"GO:0003008"	"system process"	447	7	1.98	11	"0.09571"	"0.00358"	0.0325454545454545	"BP"
"GO:0007610"	"behavior"	472	7	2.09	12	"0.03173"	"0.00481"	0.0361333333333333	"BP"
"GO:0046677"	"response to antibiotic"	79	3	0.35	13	"0.03445"	"0.00516"	0.0361333333333333	"BP"
"GO:1903522"	"regulation of blood circulation"	25	2	0.11	14	"1.00000"	"0.00542"	0.0361333333333333	"BP"
"GO:0008016"	"regulation of heart contraction"	25	2	0.11	15	"1.00000"	"0.00542"	0.0361333333333333	"BP"
"GO:0042493"	"response to drug"	175	4	0.77	16	"0.01232"	"0.00753"	0.043	"BP"
"GO:0060047"	"heart contraction"	30	2	0.13	17	"1.00000"	"0.00774"	0.043	"BP"
"GO:0008015"	"blood circulation"	30	2	0.13	18	"1.00000"	"0.00774"	0.043	"BP"
"GO:0019098"	"reproductive behavior"	106	3	0.47	19	"0.06252"	"0.01156"	0.0561702127659574	"BP"
"GO:0050830"	"defense response to Gram-positive bacter..."	37	2	0.16	20	"0.00142"	"0.01162"	0.0561702127659574	"BP"
"GO:0003013"	"circulatory system process"	40	2	0.18	21	"1.00000"	"0.01349"	0.0561702127659574	"BP"
"GO:0003015"	"heart process"	40	2	0.18	22	"1.00000"	"0.01349"	0.0561702127659574	"BP"
"GO:0097305"	"response to alcohol"	114	3	0.5	23	"0.08076"	"0.01405"	0.0561702127659574	"BP"
"GO:0051051"	"negative regulation of transport"	46	2	0.2	24	"0.05799"	"0.01760"	0.0561702127659574	"BP"
"GO:0007631"	"feeding behavior"	47	2	0.21	25	"0.00228"	"0.01833"	0.0561702127659574	"BP"
"GO:0042445"	"hormone metabolic process"	47	2	0.21	26	"0.05799"	"0.01833"	0.0561702127659574	"BP"
"GO:0009636"	"response to toxic substance"	130	3	0.57	27	"0.10122"	"0.01989"	0.0561702127659574	"BP"
"GO:0006208"	"pyrimidine nucleobase catabolic process"	5	1	0.02	28	"0.00754"	"0.02191"	0.0561702127659574	"BP"
"GO:0050884"	"neuromuscular process controlling postur..."	5	1	0.02	29	"0.00754"	"0.02191"	0.0561702127659574	"BP"
"GO:0043550"	"regulation of lipid kinase activity"	5	1	0.02	30	"1.00000"	"0.02191"	0.0561702127659574	"BP"
"GO:0043551"	"regulation of phosphatidylinositol 3-kin..."	5	1	0.02	31	"0.00754"	"0.02191"	0.0561702127659574	"BP"
"GO:2000272"	"negative regulation of signaling recepto..."	5	1	0.02	32	"0.00754"	"0.02191"	0.0561702127659574	"BP"
"GO:0051589"	"negative regulation of neurotransmitter ..."	5	1	0.02	33	"1.00000"	"0.02191"	0.0561702127659574	"BP"
"GO:0098927"	"vesicle-mediated transport between endos..."	5	1	0.02	34	"1.00000"	"0.02191"	0.0561702127659574	"BP"
"GO:0045022"	"early endosome to late endosome transpor..."	5	1	0.02	35	"0.00754"	"0.02191"	0.0561702127659574	"BP"
"GO:0036466"	"synaptic vesicle recycling via endosome"	5	1	0.02	36	"0.00754"	"0.02191"	0.0561702127659574	"BP"
"GO:0046929"	"negative regulation of neurotransmitter ..."	5	1	0.02	37	"0.00754"	"0.02191"	0.0561702127659574	"BP"
"GO:0061059"	"positive regulation of peptidoglycan rec..."	5	1	0.02	38	"0.00754"	"0.02191"	0.0561702127659574	"BP"
"GO:0048149"	"behavioral response to ethanol"	54	2	0.24	39	"0.00300"	"0.02379"	0.0561702127659574	"BP"
"GO:0007623"	"circadian rhythm"	142	3	0.63	40	"0.10129"	"0.02502"	0.0561702127659574	"BP"
"GO:0048511"	"rhythmic process"	144	3	0.64	41	"0.10382"	"0.02594"	0.0561702127659574	"BP"
"GO:0006714"	"sesquiterpenoid metabolic process"	6	1	0.03	42	"1.00000"	"0.02623"	0.0561702127659574	"BP"
