"Gene","DN1_ZT3_1","DN1_ZT7_1","DN1_ZT11_1","DN1_ZT15_1","DN1_ZT19_1","DN1_ZT23_1","DN1_ZT3_2","DN1_ZT7_2","DN1_ZT11_2","DN1_ZT15_2","DN1_ZT19_2","DN1_ZT23_2"
"FBtr0070207",0,0,0,0,1,0,0,0,0,0,0.443718322179452,1
"FBtr0070238",0,0,0,0,1,0,0,0,0,0,0.323544609922517,1
"FBtr0070551",0,0,0,0,1,0,0,0,0,0,1,0
"FBtr0070561",0,0,0,0,0,1,0,0,0,0,0,1
"FBtr0071170",0.487302216362921,1,0,0.156454099121695,0.712533340725232,0.922027166047109,1,0.494039266825155,0.602035418980266,0.16129027606961,0.516296810561861,0.494806680046646
"FBtr0071619",0.638073876309015,0.945703465131852,0.437439811637509,1,0.457151544553582,0.84739914372307,0.50653609378143,0.559127140990698,0.69122605074955,1,0.401164071589901,0.852167305818473
"FBtr0071921",0,0,0,0,1,0,0,0,0,0,1,0
"FBtr0072133",0.983210094016899,0.825045686279369,0.693222714737445,0.528242359516418,1,0.795136008195829,0.211345496364023,0.418397703239568,0.612860501949132,0.531204253001193,0.76356527941714,1
"FBtr0072161",0.419805260080528,0.815776874360316,0.724495919913571,0.414054631425463,1,0.603057022088999,0.266708973821276,1,0.70516222598127,0.511909011812725,0.734939018282067,0.602935113442108
"FBtr0072232",0.36261426669605,0.613844034162662,0,1,0.593637410796549,0.322872668397159,1,0.366608503556762,0.047382417234558,0.11424727888264,0.238136900995587,0.496524758796808
"FBtr0072848",0,0.248494866778111,1,0,0,0,0,0,0,1,0,0
"FBtr0073006",0,0,0,1,0,0,0,0,0,0,0.097063382976755,1
"FBtr0073197",0,0,0,0,0,1,0,0,1,0,0,0
"FBtr0073545",1,0.909391899249254,0,0.0733855413361565,0.227875337454733,0.127200364547549,0.211345496364023,0.253574365599738,0,0.144873887182144,0.280405328599515,1
"FBtr0074304",0.757036802400526,0.543507738581524,0,1,0.948805092469698,0.770362857930064,1,0,0,0.261136637446035,0.262436584770647,0.450627512185338
"FBtr0074411",0.123614851405278,0.207079055648426,1,0,0.164317859873967,0,0,0,0,0,0.323544609922517,1
"FBtr0074509",0.377260864983651,0.970730100536303,0.793495472272691,1,0.601779128416299,0.21498498360839,0.333386217276596,1,0.663459083584528,0.279315433032737,0.850623863752393,0.350543670605877
"FBtr0074674",0.361784978814896,1,0,0,0,0,0,0,0.678658304372286,1,0,0.209168338700898
"FBtr0074730",0,0,0,0,1,0,0,0,0,1,0.267994142670367,0
"FBtr0075004",0,0,0,1,0,0,0,0,0,0,1,0
"FBtr0075005",0,0,0,1,0,0,0,0,0,0,1,0
"FBtr0075007",0,0,0,0,1,0,0,0,0,0,1,0
"FBtr0075239",0,0,0,0,1,0,0.407594885844902,0.326024184342521,0,0,0.166394370817294,1
"FBtr0075240",0,0,0,0,1,0,0.407594885844902,0.326024184342521,0,0,0.166394370817294,1
